Designator,Mid X,Mid Y,Layer,Rotation
U2,-33.01513,47.919309,Top,295
U3,-68.656303,144.13325,Top,320
U4,-30.406143,136.761073,Top,145
U5,21.426429,11.69703,Top,115
U6,-52.281201,140.28795,Top,355
U7,-38.699955,142.322712,Top,170
U8,8.000824,29.320007,Top,130
U9,-35.176561,59.287716,Top,280
U10,-82.35878,155.573213,Top,275
U11,-27.809169,134.817657,Top,145
U12,20.651556,-11.300308,Top,85
U13,-39.10745,138.945019,Top,350
U14,-51.961417,143.843359,Top,175
U15,-0.702121,40.460857,Top,125
U16,-30.530703,69.606484,Top,195
U17,-32.455845,133.623775,Top,325
U18,-83.053192,172.825871,Top,265
U19,-66.390116,147.160944,Top,140
U20,-23.751292,131.8898,Top,150
U21,-29.986201,49.545326,Top,115
U22,25.330889,-41.839034,Top,85
U23,-121.22717,-29.650697,Top,90
U24,-24.518443,81.38065,Top,250
U25,-29.607887,132.056834,Top,325
U26,-84.375726,181.176268,Top,340
U27,-79.089216,156.032996,Top,95
U28,-24.594982,118.461187,Top,85
U29,-31.770999,59.652899,Top,100
U30,22.094885,-41.469448,Top,265
U31,-121.212887,-26.38168,Top,90
U32,-23.595805,92.342122,Top,275
U33,-101.427437,180.318606,Top,360
U34,-24.323507,103.821698,Top,90
U35,17.215565,-10.922489,Top,265
U36,-3.484204,38.171434,Top,305
U37,-25.387425,128.841438,Top,330
U38,-79.480908,172.760955,Top,85
U39,-29.65985,66.297244,Top,15
U40,-27.69489,103.871277,Top,270
U41,-101.399492,183.616086,Top,180
U42,-20.085463,92.673119,Top,95
U43,18.405035,10.262829,Top,295
U44,5.265293,27.279085,Top,310
U45,-27.867207,118.609924,Top,265
U46,-83.382655,184.501986,Top,160
U47,-21.134443,80.242494,Top,70
U48,-121.220134,-32.922386,Top,90